texts,pm,pp,np
著名主持人日前对于丰县铁链女的判决引发的一段思考，引发不少网友的点赞评论。1、跨界评论合适吗？      评论是每个独立个体思考能力的体现，不存在合适不合适，不见得跨界评论就很低级。2、张的评论内容有没有值得思考的合理之处？     初看之下，觉得法律保护的法律利益不同，没有可比之处，比如董事长私分财产，侵犯公司或者股东权益；大学生掏鸟窝，侵犯自然生态环境利益；铁链女案件，侵犯人身自由权益。上述利益处于不同领域，没有实质的可比性。     细思之下，觉得这样考虑评论又有一定合理之处。我们对于不同利益保护的平衡点在哪里？哪些利益保护应当更值得保护。对于更值得保护的利益，一旦受到侵犯，起刑点是不是要更高，判刑应该更重的。,负向,0.0315,0.9685
铁链女其实比白毛女惨多了。但是，她没白毛女幸运。 ,负向,0.1994,0.8006
铁链女其实比白毛女惨多了。但是，她没白毛女幸运。 ,负向,0.1994,0.8006
IP显示大概就是去年这会儿开始的，因为铁链女案舆论的失控 ,负向,0.1957,0.8043
徐州名头一换 “哎呀铁链女已经是过去的事了” “大家都来徐州吃烧烤啊” 就挺好笑的 ,负向,0.2283,0.7717
铁链女事件彻底失望 女性权益充满无力感 ,负向,0.0003,0.9997
刑法课分析丰县铁链女让我感觉很无力。。 ,负向,0.0074,0.9926
【天问】 “九年之后呢？铁链女还是被他控制？” ——哼哈二将周 ,负向,0.1332,0.8668
这个判决就是告诉人们，他比那些人贩子们，拴铁链女的畜牲们，私分2.5的的董事们，李天一们，危害大多了！ ,负向,0.0225,0.9775
看到最无耻的话：（关于铁链女的事情）底层人民的苦难！挣扎！为娶媳妇付出的汗水！为什么别人能不停地奋斗！不停地想法设法！  吐完我只想说本人女一辈子苦难挣扎，不停想法设法只为了不被娶为媳妇，不成为全方位的奴隶，相信那位铁链女也一定如此希望，很遗憾这个世界没有平等地毁灭 ,负向,0.0015,0.9985
一首去年的诗：仿佛是祈祷  朋友见我总在发铁链女的对比照片 有一天总结 “像是祈祷” 可不咋地 日复一日 越来越像种行为艺术 像对着某个心中的圣地祈祷 比如在报纸上看到的回不了家的海外华侨 坟墓总是对着东方  另一个朋友见我总转发铁链女的消息 终于忍不住留言 “发这些有用吗？祈祷有用吗？” 我说可能有点用吧 就像祈祷,负向,0.0954,0.9046
2023·01·27 冒着被失踪回不来的风险，前往丰县精神病医院咨询情况。通过跟现场值班人员的对话判断铁链女应该还在医院，今天终于被证实了（图一）。图四是丰县人民政府 ,负向,0.0119,0.9881
#铁链女#政府这些年怎么管的 ,负向,0.3979,0.6021
我记得铁链女一开始的时候，是因为一段视频，还是为了表扬男方一家子这么多的孩子，估计是要宣传多生的。然后不小心拍到铁链女之后，评论就走歪了，官方就连忙否认，还各种夸想把舆论再带回去。再到地方上否认铁链女是小花梅，尽可能把这件事情给压下去。后面的事情大家都明白了。这还是在众目睽睽之下，事实都拍下来的基础之上，都能靠解释给瞒天过海盖过去，又有其他多少类似的事情发生呢。这还只是知道的，那更多不知道的事情呢，咋就没人说呢。,负向,0.0002,0.9998
好b溃当时我转发铁链女的事（只转发）就这微博被禁言一个月 ,负向,0.0062,0.9938
小花梅也才6年 懂了吧。这里是地狱 不润 还要有多少 铁链女 ,负向,0.1397,0.8603
今天在丁香吃完饭哭了，骑车哭了一路。这几天就算有很多开心的事也开心不起来。双鱼的哭有很多种，不仅是悲伤或者感动，还有神圣、愤怒、激动、压抑等等。不单是为铁链女哭，而是感到前所未有的窒息和压抑的哭。我在考研的时候就给自己心理建设地写过小作文，我写到我可能并不适合读法，因为法律本身就要面对很多负能量，没有强大的内心，无法包容和净化这些痛苦。而我是个很敏感什么都喜欢较真的人，我会放大这些痛苦和愤怒，直到一切都喷涌而出，可能就像Rad的那首歌，我得了【狭心症】吧。但为什么我不能愤怒、不能哭，这只会让我更想哭。这是一种shame的哭，shame on me，看上去人模人样如此精英，看上去可以满满的优越感，但是学的这些高大上的东西不是用的吗？而我有什么用呢？我用法律帮助了谁、做了什么贡献？我最后是不是还得像那群公检法“聪明”地做出看似“平衡”的判决，却对铁链女的苦难置若罔闻，我是不是得像某光圈代表上官媒为这次”大快（块）人心“的判决背书，我是不是会像隔壁某车教授说要牺牲女性照顾农村底男的婚育需求，扪心自问我会为这些感到优越吗？优越在可以对一切随时可能降临到我们头上的苦难，事不关己、高高挂起？优越在我们对所有应该正视的苦难含糊其辞，告诉她不要这么负能量，你要咧出一个大大的微笑？优越在以居高临下的态度牺牲了正义却还要让人鼓励你“判的好”因为“至少判了”？不好意思，包容苦难的前提是正视苦难，这不是优越，这是残忍， 法律人，先做个人。,正向,0.7564,0.2436
昨天跟婆婆分享了铁链女故事，我说一个女的被卖到偏僻的地方生了七八个孩子，常年被铁链锁着没有自由，网上被曝光出来是被拐卖的，但是买他的和卖他的人都只关进去十年不到，我讲的跟很认真甚至我有点愤怒，她听完了一笑，这一笑让我觉得很神奇，可能社会上有很多人是这样的，我觉得这是一个悲剧，但是别人并不觉得，只有有女儿的人会觉得毛骨悚然，感同身受，被带入故事情节里，从中得到教育意义。我给小孩买了比较好的牛奶，其实我也可以给所有人都买这样的牛奶，但是公婆认为他们就喝普通的就行，我喝贵的他们都觉得没必要，只有孩子贵的就行，所以买最便宜的软袋牛奶大人喝，孩子早起喝牛奶，我给她好的，她觉得她要跟大人一样喝软袋奶，偏要喝普通的牛奶，我也是服了，我感觉到她的叛逆和不听话，甚至联想到以后会找一个普通的男子，只因为她觉得好看，她觉得遇到了爱情。对此我都无能为力，因为这就是命，没人能改变。,正向,0.6023,0.3977
铁链女案件后续，董志民被判9年 ,负向,0.3448,0.6552
著名法律职业资格考试培训机构方圆众合教育的刑法学权威柏浪涛老师认为铁链女案中收买被拐卖妇女的董志民就应该以强奸罪从重论处，而不应该只定性非法拘禁罪和虐待罪仅判九年有期徒刑。 ,中性,0.5015,0.4985
本博强烈呼吁：江苏省人民检察院立即依法对徐州市中级人民法院涉丰县铁链女一案有漏罪和畸轻的一审刑事判决提起抗诉。荒唐的判决！纵容犯罪的判决！！为天下耻笑的判决！！！ ,负向,0.0097,0.9903
上海红楼，徐州铁链女。时代的伤痕 ,正向,0.9406,0.0594
丫丫乐乐美香小奇迹添添，他们跟铁链女有什么区别 ,正向,0.8512,0.1488
有女儿的人都应该对铁链女案件的判罚感到愤怒！！ ,负向,0.3696,0.6304
老钟确实很像跟董志明过得很幸福的铁链女。 ,正向,0.9974,0.0026
都是前几天法律相关的新闻，一个当然是国内“铁链女”案的宣判，另一个是美国威斯康星州最高法法官选举，这两个新闻毫无关系但却让人不禁问出许多what if的问题。威斯康星最高法的这次选举是一个open seat选举，也就是民主党，共和党都有机会，而恰恰现在最高法的组成是3:3，也就是说这第7席法官的政治倾向将决定一个州未来几年的所有重大决策。因为去年联邦最高法推翻了 Roe vs Wade，所以威斯康星最高法不得不对一个1849年的禁止堕胎法案重新进行听证，这也就关系着全州女性权利与福祉，民主党候选人Protasiewicz是位女性法官，并且公开支持维护女性堕胎权，而共和党候选人是个白男，什么倾向也不必多说。这场选举成为了美国历史上最昂贵的州最高法选举，一共花了4500万美金。此前15年民主党从未赢过威斯康星最高法的多数席位，但这次Protasiewicz以领先白男10个点的巨大优势赢得了此次选举。这就是人在面对巨大的，迫在眉睫的威胁时所展现的能动性，因为所有威斯康星州女性的权利在面临显而易见的危险，这个将近200年前的禁止堕胎法案规定在孕期任何阶段的堕胎或辅助他人堕胎都是重罪。威斯康星州的选民感到了自己的权益将受到损害所以保送了一位可以保护自己权益的法官进最高法，让她来保障自己不受一个200年前的法律的威胁。反观我们自己的“铁链女”案，除了愤懑地激情转发还做些什么？！当然，美国的立法，司法，执法系统都有非常多匪夷所思的问题，这个世界没有完美的系统，但是玛莎拉蒂跑得肯定还是比马快的。,中性,0.4629,0.5371
昨天写拐卖儿童，今天又刷到铁链女，真噎得慌！ ,负向,0.0026,0.9974
反正说什么都会被说打拳 那我不如说铁链女 那个男的就该判死刑哈 ,负向,0.0009,0.9991
那个为丰县铁链女呐喊的女孩放出来了吗？ ,负向,0.0174,0.9826
时隔一年多，等来一个这样的结果？当初我们一个多月关注到很多…铁链女“丈夫”一审被判九年，知名律师追问：为何没有强奸罪？ 不少人表示，难道是因为避重就轻？ 因为按照当初那么多重罪，怎么也不应该只有九年吧？  ,负向,0.0003,0.9997
早起再刷一遍丰县铁链女事件，买方量刑不改变，还会有更多铁链女出现，好好的天气的又emo了 ,正向,0.7308,0.2692
不得不说判的好轻董xx三千块钱买个女人回家生了八个孩子才判六年比代孕划算多了。 且是因为铁链女事迹影响力太大了才会好好抓人查人，但你们本地的其他被拐女如何了呢查了吗。   ,负向,0.0317,0.9683
有个朋友和我政见不合，两次大选都投川普，但我滑雪从后面被撞时马上冲出来替我回怼撞我的人（那人非说我太慢）。另外一个朋友滑雪时很烦，总想教我做人，但又老说我根本练不了她练的drill，但在朋友圈一条一条追问丰县铁链女事件中的责任人是否定罪太轻、以及当时的志愿者下落。我本来想说当朋友只要有一些性情相投就很好不用样样都相同，但写完发现这条微博只能说明我滑雪很次。,负向,0.0588,0.9412
